time,theta
31.492,0.000522579311972157
31.512,0.000425369100493166
31.532,0.000329943044001216
31.552,0.000233910481034065
31.572,0.000142641441785527
31.596,2.60793004812898e-05
31.612,-9.91258745902794e-05
31.636,-0.000236003423919081
31.656,-0.000372316734234161
31.672,-0.000492414003403466
31.692,-0.000621068420120346
31.712,-0.000765820655490725
31.736,-0.000937633307081082
31.752,-0.00109734063717436
31.772,-0.00125880548141259
31.792,-0.00140902630201323
31.812,-0.00153947201115793
31.832,-0.00168366595065113
31.852,-0.00184455323345301
31.872,-0.0020438602192084
31.892,-0.00224450052993655
31.916,-0.00244912083415417
31.932,-0.00262901857621952
31.952,-0.00279083948480801
31.976,-0.00294894763214491
31.992,-0.0030929390593936
32.012,-0.00323324024727716
32.032,-0.00334719128893082
32.052,-0.00346333487805031
32.072,-0.00357231595477956
32.092,-0.00367812073675571
32.112,-0.0037726747576503
32.136,-0.0038507170279516
32.152,-0.0039237257718651
32.176,-0.0039925058085994
32.192,-0.00406275815017139
32.212,-0.00412126018478581
32.232,-0.00418027525283275
32.252,-0.00423237548157749
32.272,-0.00427105579402265
32.292,-0.00430027770180714
32.312,-0.00431847118538748
32.336,-0.00432916780498145
32.352,-0.00433197523436062
32.372,-0.00432625763465816
32.392,-0.00430857065896359
32.416,-0.00427598070498304
32.432,-0.004237817770823
32.452,-0.00419228929686754
32.472,-0.00413976328146874
32.492,-0.00407504686945169
32.512,-0.00400004606106599
32.532,-0.00392500811178464
32.552,-0.00384629382936097
32.576,-0.00376842505130591
32.592,-0.00367431337912639
32.612,-0.00356589598452956
32.632,-0.00342917423546466
32.656,-0.00329672951370523
32.672,-0.00316962638890976
32.696,-0.0030434008571265
32.712,-0.002906207979627
32.732,-0.00275016283596443
32.752,-0.00259428649008014
32.772,-0.00243237075531206
32.792,-0.00228154168091315
32.812,-0.00211689887586677
32.832,-0.00194249354110672
32.852,-0.00174471394994568
32.872,-0.00155378400934703
32.892,-0.00136136714803599
32.912,-0.00118206245839398
32.936,-0.00102238276772044
32.952,-0.000869133618429302
32.972,-0.000740100805037654
32.996,-0.000612232417824172
33.012,-0.000480391536972852
33.032,-0.000327882491275337
33.052,-0.000187435416053768
33.072,-4.44056670888659e-05
33.092,8.56344273972669e-05
33.112,0.000212235047094081
33.132,0.000350453965942149
33.152,0.000484508664526512
33.172,0.000610919513915618
33.192,0.00070998858319422
33.212,0.000805224444837259
33.232,0.000890296266927493
33.252,0.000974974404002804
33.272,0.00105060611583796
33.292,0.0011169415672627
33.312,0.00118072849661309
33.332,0.00123707221547186
33.352,0.00128886034009471
33.372,0.001325378292502
33.392,0.00135260137538645
33.412,0.00137153625513061
33.432,0.00138608354681173
33.452,0.00139295746784956
33.472,0.00139378692220379
33.496,0.00138891633240641
33.512,0.00137802886356971
33.532,0.00136267249455853
33.552,0.00134352679813012
33.576,0.00132429822943504
33.592,0.00130397967330246
33.612,0.00128081018704842
33.632,0.00125284608708234
33.656,0.00122243256283906
33.672,0.00118445810310719
33.692,0.00114374245677964
33.712,0.00109954091217493
33.732,0.00105708727955273
33.752,0.00102016370293706
33.772,0.00098783482199005
33.796,0.00096239210167454
33.812,0.000937903778989565
33.836,0.000913702396870259
33.852,0.000889401364271892
33.876,0.00087009046863821
33.892,0.000854589424250335
33.912,0.000845908433989016
33.932,0.000842640189691629
33.952,0.000841701280292688
33.972,0.000843680018336737
33.992,0.000850643805482044
34.012,0.000861730226687142
34.032,0.000876569277570912
34.052,0.000894185246983127
34.072,0.000911247615316636
34.092,0.000929875915682592
34.112,0.000951764275751355
34.132,0.000978743408625844
34.152,0.00100550328451094
34.172,0.00103162105622424
34.192,0.0010538747242497
34.212,0.00107098155814154
34.232,0.00108525522358953
34.252,0.00109725973908434
34.272,0.00110920217512428
34.292,0.0011194005961605
34.312,0.00113183282144619
34.332,0.00114379422852037
34.352,0.00115454830224424
34.372,0.00116502739601385
34.392,0.00117396785499895
34.412,0.00118222185351235
34.432,0.00118985401561423
34.452,0.0011978010807071
34.472,0.00120456026351011
34.492,0.00121169630816334
34.512,0.00121857629491143
34.536,0.00122438544118005
34.552,0.00123001515941025
34.572,0.00123562332665688
34.592,0.00124223188151923
34.616,0.00124847720554166
34.632,0.00125517749093853
34.652,0.00126163039033199
34.672,0.00126716670960472
34.692,0.00127340986621618
34.712,0.00128103186202703
34.732,0.00129134403307254
34.752,0.00130359917803437
34.772,0.00131942864019229
34.792,0.00133707303449843
34.812,0.00135847332078741
34.836,0.00138088920181205
34.852,0.00140224814621448
34.872,0.00142252580717531
34.892,0.00144031625780709
34.912,0.00145550142189311
34.936,0.00146735391197303
34.952,0.00147568202498428
34.972,0.00147848113834595
34.996,0.00147924164893057
35.012,0.00147871361492051
35.032,0.0014771942195124
35.052,0.00147577612139978
